System,lambda,lambda_err,psi,psi_err,sy_snum,sy_pnum,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err
TrES-1 b,30.0,21.0,,,2,1,3.03007,8e-06,,,12.666,0.673,0.84,0.11,0.0,0.0,,,,,10.48,0.28,,,,5230.0,50.0,0.85,0.05,1.04,0.19,0.02,0.02,,,4.57,0.01,,,,,,
TrES-2 b,9.0,12.0,,,2,1,2.47063,1e-05,,,15.244,0.897,1.49,0.22,0.0,0.0,,,,,7.64,0.3,,,,5850.0,50.0,1.12,0.07,1.36,0.3,-0.15,0.15,,,4.43,0.02,,,,,,
TrES-4 b,6.3,4.7,,,2,1,3.55395,7.5e-05,,,18.046,2.018,0.78,0.19,0.0,0.0,,,,,6.04,0.23,,,,6200.0,75.0,1.66,0.19,1.08,0.38,0.14,0.14,,,4.06,0.02,,,,,,
V1298 Tau b,4.0,8.5,8.0,5.5,3,4,24.1396,0.0018,0.1688,0.0026,10.27,0.5549999999999999,,,0.29,0.29,35.0,5.0,677.0,22.0,27.0,1.1,0.07,0.0023,,5050.0,100.0,1.34,0.055,1.1,0.05,,,,,,,0.023,0.004,,,2.87,0.02
V1298 Tau c,4.9,15.05,,,3,4,8.24958,0.00072,0.0825,0.0013,5.59,0.33999999999999997,,,0.43,0.43,146.0,20.0,968.0,31.0,13.19,0.55,0.0381,0.0017,,5050.0,100.0,1.34,0.055,1.1,0.05,,,,,,,0.023,0.004,,,2.87,0.02
WASP-1 b,59.0,62.5,,,2,1,2.5199454,5e-07,0.03889,0.0006299999999999999,16.623,0.325,0.854,0.0545,0.0,0.0,,,,,5.687,0.0475,0.10362,0.000745,,6160.0,64.0,1.47,0.025,1.24,0.060000000000000005,,,0.441,0.0395,,,3.4,0.8999999999999999,,,,
WASP-3 b,5.0,5.5,,,3,1,1.84683,2e-06,,,15.917,1.906,2.43,0.53,0.0,0.0,,,,,5.18,0.35,,,,6400.0,100.0,1.44,0.12,1.62,0.53,0.0,0.0,,,4.25,0.05,,,,,,
WASP-4 b,4.0,38.5,,,1,1,1.33823147,2e-08,0.0226,0.00075,14.807,0.437,1.186,0.094,0.0,0.0,,,,,5.451,0.0375,0.15201,0.000365,,5400.0,90.0,0.89,0.03,0.86,0.08499999999999999,-0.07,0.19,,,4.47,0.11,7.0,7.0,,,,
WASP-5 b,12.1,9.0,,,1,1,1.6284279,3.55e-06,0.0267,0.001,12.184,0.779,1.58,0.115,0.038,0.022,,,1706.0,50.0,,,,,,5700.0,100.0,1.03,0.065,0.96,0.11,0.09,0.09,,,4.39,0.04,5.4,4.35,3.5,1.0,,
WASP-6 b,7.2,3.7,,,1,1,3.36101,2.8e-06,,,11.545,1.121,0.37,0.08,0.05,0.02,,,,,10.62,0.41,,,,5450.0,100.0,0.73,0.07,0.55,0.17,-0.2,0.2,,,4.6,0.2,,,,,,
