System,lambda,lambda_err,psi,psi_err,Ephemeris_reference,sy_snum,sy_pnum,cb_flag,pl_refname,pl_orbper,pl_orbper_err,pl_orbsmax,pl_orbsmax_err,pl_rade,pl_rade_err,pl_bmassj,pl_bmassj_err,pl_orbeccen,pl_orbeccen_err,pl_insol,pl_insol_err,pl_eqt,pl_eqt_err,pl_ratdor,pl_ratdor_err,pl_ratror,pl_ratror_err,st_refname,st_spectype,st_teff,st_teff_err,st_rad,st_rad_err,st_mass,st_mass_err,st_met,st_met_err,st_lum,st_lum_err,st_logg,st_logg_err,st_age,st_age_err,st_vsin,st_vsin_err,st_rotp,st_rotp_err,rowupdate
WASP-17 b,148.5,4.800000000000001,,,2010A+A...524A..25T,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.73543,8e-06,,,20.961,2.69,0.78,0.23,0.0,0.0,,,,,8.97,0.62,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6550.0,100.0,1.49,0.19,2.28,0.99,-0.25,0.25,,,4.2,0.2,,,,,,,2018-04-25
WASP-18 b,4.0,5.0,,,2010A+A...524A..25T,2,2,0,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,0.94145223,2.4e-07,0.02024,0.00030000000000000003,13.899,0.886,10.2,0.35,0.0051,0.005350000000000001,5805.0,723.5,2429.0,73.5,3.48,0.165,0.1018,0.0011,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,,6432.0,48.0,1.32,0.06,1.29,0.06,0.107,0.08,0.428,0.0435,4.31,0.035,1.57,1.17,,,,,2022-01-31
WASP-19 b,1.9,1.1,,,2021MNRAS.505..435S,1,1,0,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,0.78883852,7.85e-07,0.01652,0.00053,15.861,0.5155000000000001,1.154,0.079,0.0126,0.01145,3320.0,185.0,2113.0,29.0,3.533,0.05,0.1441,0.000495,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,,5616.0,65.5,1.01,0.03,0.96,0.095,0.04,0.275,-0.043,0.0335,4.42,0.02,6.4,3.8,,,,,2022-01-31
WASP-20 b,12.7,4.2,,,2015A+A...575A..61A,2,1,0,<a refstr=ANDERSON_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..61A/abstract target=ref>Anderson et al. 2015</a>,4.8996284,3.3e-06,0.06,0.00069,16.388,0.661,0.311,0.017,0.0,0.0,,,1379.0,31.0,9.28,0.23,,,<a refstr=ANDERSON_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..61A/abstract target=ref>Anderson et al. 2015</a>,F9,5940.0,100.0,1.39,0.04,1.2,0.04,-0.008,0.06,,,4.23,0.02,7.0,1.5,4.75,0.51,,,2015-03-05
WASP-21 b,8.0,26.5,,,2020A+A...642A..54C,1,1,0,<a refstr=BOUCHY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1006.2605B/abstract target=ref> Bouchy et al. 2010 </a>,4.322482,2.15e-05,0.052,0.00042500000000000003,11.99,0.56,0.3,0.011,0.0,0.0,,,,,,,,,<a refstr=BOUCHY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1006.2605B/abstract target=ref> Bouchy et al. 2010 </a>,G3 V,5924.0,55.0,,,,,,,,,,,,,1.5,0.6,,,2014-05-14
WASP-22 b,22.0,16.0,,,2011A+A...534A..16A,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.53269,1e-05,,,13.787,1.569,0.67,0.19,0.02,0.01,,,,,8.94,0.85,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6000.0,100.0,1.24,0.13,1.46,0.63,-0.05,0.05,,,4.5,0.2,,,,,,,2018-04-25
WASP-24 b,4.7,4.0,,,2011MNRAS.414.3023S,3,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.34121,2e-06,,,15.468,1.793,1.24,0.29,0.0,0.0,,,,,5.91,0.17,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6075.0,100.0,1.42,0.16,1.43,0.5,0.0,0.0,,,4.26,0.17,,,,,,,2018-04-25
WASP-25 b,14.6,6.7,,,2012MNRAS.423.1503B,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.76483,5e-06,,,11.994,1.121,0.44,0.1,0.0,0.0,,,,,11.1,0.52,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5750.0,100.0,0.8,0.08,0.67,0.22,-0.05,0.05,,,4.5,0.15,,,,,,,2018-04-25
WASP-26 b,34.0,31.0,,,2012ApJ...757...18A,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.7566,1e-05,,,13.563,1.681,0.85,0.23,0.0,0.0,,,,,6.43,0.31,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6034.0,31.0,1.22,0.15,0.86,0.34,0.16,0.16,,,4.44,0.06,,,,,,,2018-04-25
WASP-28 b,8.0,18.0,,,2015A+A...575A..61A,1,1,0,<a refstr=MO__X10D_NIK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020PASP..132a4401M/abstract target=ref>Mo&#x10D;nik et al. 2020</a>,3.40883495,1.5e-07,0.0442,0.001,13.664,0.314,0.889,0.058,0.0,0.0,,,1456.0,40.0,,,,,<a refstr=MO__X10D_NIK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020PASP..132a4401M/abstract target=ref>Mo&#x10D;nik et al. 2020</a>,,6084.0,45.0,1.08,0.03,0.99,0.07,,,,,,,5.5,2.6,,,,,2022-02-22
WASP-31 b,2.8,3.1,,,2012MNRAS.423.1503B,1,1,0,<a refstr=ANDERSON_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...531A..60A/abstract target=ref> Anderson et al. 2011</a>,3.4059096,5e-06,0.04659,0.00035,17.363,0.56,0.478,0.029,0.0,0.0,,,,,,,,,<a refstr=ANDERSON_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...531A..60A/abstract target=ref> Anderson et al. 2011</a>,,6302.0,102.0,1.25,0.03,1.16,0.03,,,,,,,,,7.9,0.6,,,2014-05-14
WASP-32 b,10.5,6.45,,,2012ApJ...760..139B,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.71866,2e-06,,,10.761,1.681,2.63,0.82,0.0,0.0,,,,,7.72,0.25,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6140.0,95.0,0.95,0.15,0.72,0.34,-0.13,0.13,,,4.4,0.02,,,,,,,2018-04-25
WASP-33 b,111.64,0.28,108.19,0.96,2022MNRAS.512.4404W,2,1,0,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,1.21987,1e-06,0.0239,0.00063,17.856,0.829,2.093,0.139,,,,,2781.7,41.1,3.571,0.01,0.1118,0.0002,<a refstr=CHAKRABARTY__AMP__SENGUPTA_2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...39C/abstract target=ref>Chakrabarty &amp; Sengupta 2019</a>,,7430.0,100.0,1.44,0.03,1.5,0.03,,,,,,,,,,,,,2019-07-08
WASP-38 b,7.5,5.4,,,2012ApJ...760..139B,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,6.87188,1e-05,,,13.787,0.673,3.44,0.36,0.03,0.0,,,,,12.11,0.27,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6180.0,50.0,1.52,0.07,1.76,0.28,-0.02,0.02,,,4.25,0.01,,,,,,,2018-04-25
WASP-39 b,0.0,11.0,,,2018A+A...613A..41M,1,1,0,<a refstr=FAEDI_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract target=ref> Faedi et al. 2011 </a>,4.055259,9e-06,0.0486,0.0005,14.235,0.448,0.28,0.03,0.0,0.0,,,,,,,,,<a refstr=FAEDI_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1102.1375F/abstract target=ref> Faedi et al. 2011 </a>,,5400.0,150.0,0.9,0.02,0.93,0.03,,,,,,,,,1.4,0.6,,,2014-05-14
WASP-41 b,6.0,11.0,,,2016MNRAS.457.4205S,1,2,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.0524,1e-06,,,12.33,0.56,0.85,0.11,0.0,0.0,,,,,9.96,0.42,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5545.0,33.0,0.83,0.04,0.81,0.15,0.06,0.06,,,4.53,0.05,,,,,,,2018-04-25
WASP-43 b,3.5,6.8,0.0,10.0,2017A+A...601A..53E,1,1,0,<a refstr=HELLIER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1104.2823H/abstract target=ref> Hellier et al. 2011 </a>,0.813475,1e-06,0.0142,0.0004,10.424,0.897,1.78,0.1,0.0,0.0,,,,,,,,,<a refstr=HELLIER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1104.2823H/abstract target=ref> Hellier et al. 2011 </a>,,4400.0,200.0,0.6,0.035,0.58,0.05,,,,,,,,,4.0,0.4,,,2014-05-14
WASP-47 b,0.0,24.0,,,2015ApJ...812L..11S,1,4,0,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,4.159151,4e-07,,,12.86,0.1,1.17674,0.051915,0.0006,0.00035,,,,,,,,,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,,5576.0,67.0,1.16,0.01,1.06,0.05,,,,,,,,,,,,,2024-08-16
WASP-47 b,,,29.0,12.0,2023A+A...669A..63B,1,4,0,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,4.159151,4e-07,,,12.86,0.1,1.17674,0.051915,0.0006,0.00035,,,,,,,,,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,,5576.0,67.0,1.16,0.01,1.06,0.05,,,,,,,,,,,,,2024-08-16
WASP-49 b,54.0,68.5,,,2017A+A...602A..36W,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.78174,6e-06,,,12.442,1.233,0.37,0.08,0.0,0.0,,,,,8.37,0.37,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5600.0,150.0,0.97,0.09,0.92,0.3,-0.23,0.23,,,4.5,0.1,,,,,,,2018-04-25
WASP-52 b,0.6,0.935,,,2023A+A...674A.174C,1,1,0,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,1.7497798,1.2e-06,0.0272,0.0003,14.24,0.34,0.46,0.02,0.0,0.0,,,1315.0,35.0,7.3801,0.10895,,,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>,K2 V,5000.0,100.0,0.79,0.02,0.87,0.03,0.03,0.12,,,4.58,0.01,0.4,0.25,3.6,0.9,,,2014-05-14
WASP-53 b,1.0,12.0,,,2017MNRAS.467.1714T,1,2,0,<a refstr=TRIAUD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.1714T/abstract target=ref>Triaud et al. 2017</a>,3.3098443,2e-06,0.04101,0.00087,12.038,0.415,2.132,0.093,0.03,0.03,,,1053.0,16.0,11.05,0.195,,,<a refstr=TRIAUD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.1714T/abstract target=ref>Triaud et al. 2017</a>,,4953.0,60.0,0.8,0.02,0.84,0.05,0.22,0.11,-0.463,0.028999999999999998,4.55,0.02,,,0.86,0.21,,,2017-01-31
WASP-60 b,129.0,17.0,,,2018A+A...613A..41M,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.305,6e-06,,,9.864,1.345,0.55,0.19,0.0,0.0,,,,,10.04,1.16,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5900.0,100.0,1.17,0.15,1.19,0.61,-0.04,0.04,,,4.2,0.1,,,,,,,2018-04-25
WASP-61 b,4.0,17.75,,,2017MNRAS.464..810B,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.8559,3e-06,,,15.805,2.466,2.68,0.84,0.0,0.0,,,,,8.15,0.24,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6250.0,150.0,1.55,0.24,1.82,0.85,-0.1,0.1,,,4.26,0.01,,,,,,,2018-04-25
WASP-62 b,19.4,5.0,,,2017MNRAS.464..810B,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.41195,3e-06,,,14.796,0.897,0.52,0.08,0.0,0.0,,,,,9.55,0.41,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6230.0,80.0,1.23,0.08,1.11,0.25,0.04,0.04,,,4.45,0.1,,,,,,,2018-04-25
WASP-66 b,4.0,22.0,,,2016ApJ...823...29A,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.08605,7e-06,,,15.693,3.139,2.35,0.98,0.0,0.0,,,,,6.73,0.37,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6600.0,150.0,1.76,0.35,1.33,0.83,-0.31,0.31,,,4.3,0.2,,,,,,,2018-04-25
WASP-69 b,0.4,1.95,,,2017A+A...608A.135C,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.86814,2e-06,,,12.442,0.448,0.29,0.03,0.0,0.0,,,,,12.0,0.46,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4700.0,50.0,0.86,0.03,0.98,0.14,0.15,0.15,,,4.5,0.15,,,,,,,2018-04-25
WASP-71 b,1.9,7.3,,,2017MNRAS.464..810B,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.90367,7e-06,,,13.227,1.345,1.39,0.33,0.0,0.0,,,,,4.3,0.27,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6050.0,100.0,1.82,0.19,0.76,0.27,0.15,0.15,,,3.9,0.05,,,,,,,2018-04-25
WASP-72 b,7.0,11.5,,,2018AJ....156..197A,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.21673,2e-06,,,14.46,2.018,2.3,0.7,0.0,0.0,,,,,4.61,0.35,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6250.0,100.0,2.18,0.29,2.78,1.28,-0.06,0.06,,,4.09,0.05,,,,,,,2018-04-25
WASP-74 b,0.77,0.99,,,2020A+A...642A..50L,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.13775,1e-06,,,15.244,1.121,0.72,0.12,0.0,0.0,,,,,4.86,0.2,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5990.0,110.0,1.42,0.1,0.98,0.24,0.39,0.39,,,4.39,0.07,,,,,,,2018-04-25
WASP-76 b,61.3,6.35,,,2020Natur.580..597E,2,1,0,<a refstr=EHRENREICH_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.580..597E/abstract target=ref>Ehrenreich et al. 2020</a>,1.80988198,6e-07,0.033,0.0002,20.781,0.8574999999999999,0.894,0.0135,0.0,0.0,4104.0,896.0,2228.0,122.0,4.08,0.04,0.10852,0.00084,<a refstr=EHRENREICH_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.580..597E/abstract target=ref>Ehrenreich et al. 2020</a>,F7,6329.0,65.0,1.76,0.07,1.46,0.02,0.366,0.053,,,4.2,0.11,1.816,0.274,1.48,0.28,,,2024-07-12
WASP-77 A b,8.0,18.5,,,2024A+A...686A.147Z,2,1,0,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,1.36002854,6.2e-07,0.02335,0.00043999999999999996,13.787,0.33599999999999997,1.667,0.066,0.0074,0.0059,1440.0,85.0,1715.0,25.5,5.332,0.069,0.13354,0.0007199999999999999,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,,5617.0,72.0,0.91,0.025,0.9,0.065,-0.1,0.10500000000000001,-0.129,0.035500000000000004,4.48,0.01,6.2,3.75,,,,,2022-01-31
WASP-78 b,6.4,5.9,,,2017MNRAS.464..810B,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.17518,5e-06,,,21.633,5.044,1.11,0.54,0.0,0.0,,,,,3.54,0.21,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6100.0,150.0,2.46,0.58,1.87,1.36,-0.35,0.35,,,4.1,0.2,,,,,,,2018-04-25
WASP-79 b,99.1,4.0,,,2017AJ....154..137J,1,1,0,<a refstr=GRESSIER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...672A..34G/abstract target=ref>Gressier et al. 2023</a>,3.662392,4e-06,0.0519,0.0008,17.15,0.448,0.85,0.08,0.0,0.0,,,1716.2,25.1,7.407,0.109,0.1044,0.00048,<a refstr=GRESSIER_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...672A..34G/abstract target=ref>Gressier et al. 2023</a>,F5,6600.0,100.0,1.51,0.035,1.39,0.06,0.03,0.1,,,4.2,0.15,,,,,,,2023-08-22
WASP-80 b,14.0,14.0,,,2015MNRAS.450.2279T,1,1,0,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,3.06785234,8.1e-07,0.0344,0.0010500000000000002,11.198,0.3415,0.538,0.035500000000000004,0.002,0.006,,,825.0,19.0,12.63,0.10500000000000001,0.17137,0.00038,<a refstr=TRIAUD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.450.2279T/abstract target=ref>Triaud et al. 2015</a>,,4143.0,93.0,0.59,0.02,0.58,0.05,-0.13,0.16,,,4.66,0.015,,,1.27,0.15500000000000003,,,2015-04-16
WASP-84 b,0.3,1.7,17.3,7.7,2015ApJ...800L...9A,1,2,0,<a refstr=MACIEJEWSKI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmpL..77M/abstract target=ref>Maciejewski et al. 2023</a>,8.52349648,6e-07,0.0778,0.0021,10.72,0.27,0.692,0.058,,,,,732.0,12.0,21.78,0.20500000000000002,0.12793,0.00058,<a refstr=MACIEJEWSKI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmpL..77M/abstract target=ref>Maciejewski et al. 2023</a>,K0,5280.0,80.0,0.77,0.02,0.85,0.04,,,,,,,,,,,,,2023-07-10
WASP-85 A b,16.2,2.9,,,arXiv:2307.09577,2,1,0,<a refstr=MO__X10D_NIK_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151..150M/abstract target=ref>Mo&#x10D;nik et al. 2016</a>,2.6556777,4.4e-07,0.039,0.001,13.899,0.336,1.265,0.065,0.0,0.0,,,1452.0,6.0,,,,,<a refstr=MO__X10D_NIK_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151..150M/abstract target=ref>Mo&#x10D;nik et al. 2016</a>,G5 V,6112.0,27.0,0.94,0.02,1.09,0.08,,,,,,,,,,,15.1,0.6,2019-12-02
WASP-87 b,8.0,11.0,,,2016ApJ...823...29A,2,1,0,<a refstr=ADDISON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...823...29A/abstract target=ref>Addison et al. 2016</a>,1.682795,1.9e-06,0.02946,0.00075,15.524,0.673,2.18,0.15,0.0,0.0,,,,,,,,,<a refstr=ADDISON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...823...29A/abstract target=ref>Addison et al. 2016</a>,,6450.0,120.0,1.63,0.06,1.2,0.09,,,,,,,,,9.9,0.6,,,2019-06-24
WASP-94 A b,123.0,3.0,,,2024MNRAS.530.2749A,2,2,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.95019,4e-06,,,17.71,1.457,0.5,0.13,0.0,0.0,,,,,8.44,0.84,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6170.0,80.0,1.48,0.12,1.67,0.64,0.26,0.26,,,4.27,0.07,,,,,,,2018-04-25
WASP-100 b,79.0,14.5,,,2018AJ....156..197A,2,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2.84938,8e-06,,,14.908,1.569,1.26,0.45,0.0,0.0,,,,,4.93,0.75,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6900.0,120.0,1.57,0.16,0.77,0.42,-0.03,0.03,,,4.35,0.17,,,,,,,2018-04-25
WASP-101 b,34.0,3.0,,,2024A+A...686A.147Z,1,1,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.58572,4e-06,,,16.029,1.009,0.51,0.08,0.0,0.0,,,,,8.45,0.3,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6380.0,120.0,1.31,0.08,1.41,0.3,0.2,0.2,,,4.31,0.08,,,,,,,2018-04-25
WASP-103 b,2.0,35.5,,,2024A+A...686A.147Z,1,1,0,<a refstr=GILLON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562L...3G/abstract target=ref> Gillon et al. 2014 </a>,0.925542,1.9e-05,0.01985,0.00021,17.127,0.6725,1.49,0.088,,,,,2508.0,72.5,2.978,0.07300000000000001,0.1093,0.0018,<a refstr=GILLON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562L...3G/abstract target=ref> Gillon et al. 2014 </a>,F8 V,6110.0,160.0,1.44,0.04,1.22,0.04,0.06,0.13,0.413,0.059,4.22,0.08499999999999999,4.0,1.0,10.6,0.9,,,2014-05-14
WASP-105 b,14.0,26.0,,,2024A+A...686A.147Z,1,1,0,<a refstr=ANDERSON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...604A.110A/abstract target=ref>Anderson et al. 2017</a>,7.87288,1e-05,0.075,0.003,10.761,0.336,1.8,0.1,0.0,0.0,,,900.0,20.0,17.9,0.2,,,<a refstr=ANDERSON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...604A.110A/abstract target=ref>Anderson et al. 2017</a>,K2,5070.0,130.0,0.9,0.03,0.89,0.09,0.28,0.16,,,4.2,0.2,,,1.7,1.9,,,2017-08-14
